,0,1,2
0,cc3f47a8be5c7493a2d156f1ef0d8103d39897bfd745b8ff50b5efecdcb28bc2,1486773571,374
1,df6f17a1a3b1213df59cd5aa7e067e706c1039e5a4641f1371c3110d59c5fb72,1486841154,487
2,edb71b638171ea837d00e0689988b9bc7e6eb4ef6134301f76c4e474b52698af,1487842099,192
3,c3c256c8e179de0a2ee9a3d70eca34e2b5f84fd01525ba80b221f3ab90b6cfd0,1489902832,339
4,5a7516dbcefd5967de6e0aa49645046bba785758fe2b309f0c7ec9bfbcb0b9de,1459969252,225
5,0c4daeebbac22e09118467a9b5fc0f31aec12a8c6a6b9528b63227139e94260c,1459976586,372
6,524c37d345efc23cacd0e336dba4a9d41c8521e2af4994d62d534ddec9f91908,1460015019,192
7,b33eeb2fcdc945fa0dc6304aa698c84afc532a4244c50554700f0945e578bb88,1460115987,1700
8,e4c68d489b2e636e88b01edc9b075ce56e6c6104e0baa49461fe13e4e16168e4,1463823319,520
9,2da298ad66c422083fcc0ec8260abeff9e40f599ead08e9e44cb2ff818d50f9e,1480678938,225
10,d2b51575a216836872a6385730d90e007dd7a87751e031d681239ebd5b50899d,1481180657,223
11,f49edb5b6a132edfa7ba62f9b0ad5432f7b67e7929b0dd30415c6fa99aaa4879,1481366295,224
12,c9d98ae90bd29afbf93403c146bc82e7dac00a337c7cb546d4e9ce338a4e914c,1462016079,520
13,637f93495d6741389a6d0531e407b16f27facfc853cd366883112e9a34f371e9,1467955509,226
14,42dff044efd6e36d176b5d59250fb30402d7892e12f7dd7f86df8ff13f553bb6,1479294914,225
15,f323d6283191e340d1cc292c8214b27f8e0a1fcb5d34bf841bfec6cc935cd0af,1481967171,337
16,7543326fefe5388d8560ba3de2c78e36290ab9ab533b2956db9ace28fee61556,1496286902,191
17,eaec06125611e887234fee053340a20a0391cb539f213bcee51f1e13faa58340,1492441114,223
18,07c09b262567527fa75b4bbbf47b91aff83e8758a808f6330aa7cf06ca8bde4f,1496328307,226
19,343250d66b538ed7c9648ae8f6ba9d74410c7acd3f8cd4fc4e1d69006a2bb37e,1481460062,224
20,ba8b1c5f1aa14a41f5164d77747474cc17e68e61b7b0bde740bc8fae8c699c5f,1482337580,224
21,bbba6222eeb060831d6e46680b571521fc535c8396d5e2db4d6955abce938aca,1484769728,223
22,677db843c68fdd52765346b8b9120870a84f852ffba856367476fae0a7f18573,1487402108,223
23,5377942bc8dc361509991de32cb6a3a4622a1930a48c78ef1d5e70cd5240f268,1488102026,224
24,60e3f619679c714c5eccbd3d5241db513651d1f695e3f814949c5049e5ea83f8,1488550923,224
25,954a380ccade25f1426a0dfa24687a75bd7714cf41e3f7588a49ac693526fa5a,1493441227,223
26,37b604ff841e344d181d7d6bbe24caee599d6c5b3fab0607616397afebf3d0a8,1494132806,224
27,0a07219e7e65269fb8ddf62f9e3720581fe1a6c1820dd5e58e9352ea1bbf0d06,1494338459,226
28,79a560cd164a0927bcde8291b9cba5b20a863cbdea2e4c9feb6141a210d77530,1505826667,373
29,4bb7d81aa2989bfb17f13f135a93ce201e9694736a95d496805687a5a95bd215,1486469628,226
30,a5d2b9e4f5d00dd302fbff963c6e4c952e9c8a608579c2d20ae0ce46ab0933e2,1488905724,224
31,86e5873011222747f4763ce747f7483b1ea9788f9409c3fbed4d4d7ff9da21d5,1492536532,226
32,7e78f44e80c9845028b0ed9ebdbb8466a1d3fd527e250c977aaf08fe52657b96,1493104311,224
33,d6705f5d7ddb096c5653ea7595cfb3419ce80a4d007e6550afc42bb675b38b8f,1487326221,226
34,286694ca070953cedc930ca7b1150b1e45db5ff32bcb74a197c313fafde89f9d,1488279290,224
35,f9877c814b186b0d6516b3b946d99bdf46a9373ec679027af0a3bdbc5ea97ce4,1489075466,223
36,a54c3231068192862235487a713f9d3fb6176330bc423ba05f135502f3293aa7,1489404286,224
37,64686de6d2ddce2b3f2b6971b32b3d680328452cc53ed1fa461e78d8ee96cb49,1490614992,374
38,f77b87da26edf52d471bec14f66a9805dc0803f2a414a29e9efe9e575d037992,1490683424,226
39,1587d4adc300005a5b126ffab8211a27667e05669c9f860461acad04954583c1,1490687749,223
40,35cd54d032457848b21e06356ff7a119b7ae0a614273cc48d0972ff87d3edc73,1490968805,374
41,a2f4a6d98907110658c288f4176e021a5b74a3fb46bb15979470b0aa246b2aec,1491126404,373
42,af1c04d0ff8fd2bf6e8ec8b555cb792a0baf60dd2e2a0edb52ca9b8553abfaed,1477042002,225
43,c8b71d723abc10bfc3ce0a6de9005565636a25174d6f23f0fc5e5a0cf1ec792e,1477468902,372
44,3894f9d31b96aba7007660357bf8357ca10d3defd4a575e5c7c444518c91bb18,1478146185,224
45,345e972b537401e3b1f0330653e8d309bde1b746af2169b1f7d8fbd65962ab63,1481712217,223
46,ec0fc5648eb0ee1bc7cb860ec979233865039f65166cb95f70efa80034afc190,1476073266,224
47,6fe02f71a21c1ac31a7266e5cab3fb423eac43c3d9f82649aa982c618e524953,1477286055,225
48,288b54b464a470b6666374438193f626086365ddfa9f432d4d3f3d18f152be4a,1477630163,226
49,8350c5aa725d2b7eb60ec3e2e658087e8d978a5df031642f8cf5f8a854aa1c04,1478230232,226
50,6be8254f90591a905e26e934ee7c8a6598f5170222178647de7457d263e08564,1478589744,223
51,91ca6ff036f690f1af3518ab8c18420daea452819fa1d75aa7169e36633aebb8,1478961320,223
52,916b2b11ed031a0833f8ae8f38e3e74425935da5e064214cc4b91fd6f34e0a04,1479193099,225
53,f43d79e304987f05d40bd7a2fde6cd3832d70d27ecf0b1d21cee7f9d1596fd28,1479456856,226
54,397df01b9ba717be0a5dc44488ba05e0f350e49fb56f1b7cd9562c8b76300c3e,1481282367,225
55,f9506cc4d55765a847b640619fe18362a7072430d2ee94cbab480def38bd1d83,1481547764,225
56,446ff4c06da05e57f5e175962ebdb086bc44ebba9be5521ab71695eea38a8ba3,1482138178,226
57,b52535312abbf027801d179672721c97c4a84edfa593fb648ed5e50ffd489378,1483335779,225
58,e2a4f1aac5d8576639cd3da5ba9d6ff1d249abb2535138bbf2948ad4da94fcb3,1484005606,225
59,500292ce2a4234258461868601b4cf6b6be21d8245d05d85ab874d904c184daf,1484228802,224
60,87555639ca361a8a8989acb044e0a2106d53135a63ac03ddcdee293fcfd19aa4,1484324512,226
61,f18227a1f05ab2c9feb60fa6a5ab63588128320144d68c32fa4e552f0e1efa17,1485353543,226
62,738d4801962acf604611950f861666a0a05796b47570b21588e214341eae71c5,1485961109,225
63,726277a1592dafd88729dc61b9639ed297f24b2f0afd94f12cc8bf7575601896,1487273871,225
64,32846bded429a1932e3680e5946f00f62a7ddfc9710dc5fe26186c99ef0c96f0,1489163154,223
65,285dfda53cd17c96791adf4d8cf81353fd44bc20d6482fa5a2b98ef7ecd87e21,1494503626,226
66,207bb380a48550b53468b5b028522118fddf4b56ee2993541adf782adee0bab8,1502638463,223
67,460d718c0c0ecfc1f5dd2f4da6e23c521345c938e67397ac0c6753613fe669ee,1502709247,373
68,67e1607cf4e20eb29b7490122dc9c6f1a19e902011426a6c4772bc809176ade5,1504100593,226
69,91d36750764e5fffdbdb9efec4a711b7b0c9741e8b154c38abafb66f5925c1ea,1504105350,226
70,baf38d1f204779f4cfe3b317a5c8e0b69a97b08ffbdd47c82bdb7169996dcb65,1507647548,225
71,a89553bb884a80e369d492867bfa7246f63ae5c7b607ce4871da188407dbba54,1474973460,373
72,6bd800854e2f4dd1b400ce6ad5a0626353c94244f946dd269294e62555672361,1482795888,192
73,dd66934a0f61a9a47795f6ffaffbd8f362b55a56c0f65347bd67c2f655335551,1485140207,226
74,2af37e029b2a7d17866f0997bd8b3089e97173e1abf2795ced88862cbf377f49,1486192939,374
75,902a6ff04352a2d5434050a5b5c87dc0e6a56186fe9858aae20ea2d8df61e56e,1486621563,226
76,9a2255f1d84adf53cf4ce736e4bf104cd43af1767142defc87da9d491e6a140e,1487116041,373
77,04ebbcee44d606fec4b2a39e7a0fc930a9478407e1f6a6c942f2befbf7c99a35,1468905990,373
78,30b303b5a720a9845b63ddad12366b5a145a83c6ee506f4d8bea474515fa8304,1477223577,225
79,56d81ded6ab73459ff305766444dd63a659b6226ef528602c966f8c1aa276636,1478523062,225
80,795ab2c885d6ce7e119127b79f30cf57c771e5d2dd407deb1dcdcc36fe219691,1478532842,372
81,8702b727377aa94faa2e9a69e55337d23d1ab2092675d391e87c3ad0e36ba5f5,1478837791,373
82,0ca13dbd88946914145838608a4efe6f4f123557058c7e04c0caf8088a5b47fe,1478852300,226
83,d318af24ce343f1c7f39efee505d25f7f2eff24a392e298978356a33a5a6694c,1480388891,226
84,401c6a2d5d8e3d8600c16017034ad503f33ca6e48be8c63e59cf133d57fb9601,1480910744,225
85,72261554c9c2061fd1b38a8891edf6905ca0191598c8133342a665a15a4686f0,1481207949,226
86,01c3c0f40b82fcb2443e3aa45abfc45ee9181b544bf965a336c24cac805a9711,1481845342,226
87,757e8b085dc10ea60ff6f7445f8b6f65cb5841131b00618d3abd7e3628c5ed12,1481854815,226
88,3fd445aa4f7e892489e589b23151e9d500bcf2cc94098cffb99067bd16b50e02,1483541314,226
89,d33d114534cedf9c698d89185d09e97c88d2d21cc2e2a04dedf3e7a66516e995,1483637483,226
90,2df852ea571e5332da356b3f8767c282f467812905785f94e5b2cacc1d7db745,1483687792,225
91,ca7bf8f505601132cf1090941f9aa53d77c61558c1743456300140f0bd8aa206,1465718955,226
92,08e23d47b111717652f80b0c09750f55b7222f016db5feeb848007d634f05ba9,1466054867,1846
93,35f7c1ec914c7be2e5acbfdf7c9ac1dd42ff423d07016c065d40c7a8dc83622b,1466400454,374
94,2cb2aee0926b52f7c9a36c880d9002b97f4b90982c82f906c8d517acc7de145f,1466996322,520
95,820f61a1e8613727e4eadf9f997b310a83431ed29c81ab944817b8e815ac96ad,1467420934,522
96,40e26bffa1a5124aa35721e1957bd5d02af97706a2c51b4eba9fb30027f37f4c,1469343679,225
97,7d87f23781960b8dce7c089eb7bbd2a1280bd7685d7f9b7704480915139cb67a,1470637943,226
98,01c457953917468e30c40a195b5a3611dd5547695a6598dfb9ed385f6bf7ebdb,1472588134,223
99,aed6e71e341f4ace616bedf419a49fd344c067a08dd593f79746ea3931a64bfa,1473948841,226
100,57ad5fad48ac16991d64eff834a581d150eba27763f12c076ecdf40ca74465a8,1475908705,223
101,4db2ddb2a369b97bc967af10b2f11f22033aa78fad6a42b2beb69558cd4762ea,1476160860,223
102,fc68a51529f530849acff6693c8fe933c189108a686b792fcaa80ba52f6a2af8,1476617989,223
103,f670630b0d7f628f067817cbaad2d920941b7166a6303395086b5ba9ff6381ba,1476795411,224
104,3c889205d52ddeda72c4627fe30e48445fec1241b7b8ae8ae6b0b94e86da878b,1476795411,371
105,68d1460dfa3d8d1253c4066dafff5aa4e6813037f765ce4f17d7e39d75157a9a,1477372410,520
106,b0a1fc28954ca79320abd48dfde155ac1a57fb07a6ed52802de4d5b9b64a6bc7,1478746224,225
107,01ad3cc05257f6fb6aa0ace92a248959eb9f5220b813d894d9794baaa50013a0,1479194325,226
108,ea81440a767767cdddb3112f7b84375b84f1c472db158b3da3eb654d4f58410c,1479824949,226
109,e96115073a727c7ea86e59179f44718fe9580c3c8252d8f313fc84ec5cd700d6,1481003477,225
110,f2b207b265dfdd4baca2fd20ff009d92e4f3ccbc54529ca94cd3012bb37069e3,1525565601,225
111,71dde9e342c1f2d763bbf1d4f76ddd6332f7dfa1aaa9d1bb097c0ef2ca2a65f9,1529625918,226
112,df60121f976612a242704cdcdd5db9ac7a2f7d377e7d996312e7295a56c40f1e,1465082479,964
113,bae4a101a1b3175a469f783c18cf75139230851f80e5e5621e11fbdaa6bac1fc,1465192797,1109
114,e77182025507202a3466274174d0659ed48039f2df43a2b8065830695021d99a,1465253002,1256
115,ac73ea009203b937cbbbf9cc6d7a3eba88379bfeb43096afedd8862151cd69a1,1465289588,1256
116,f60da1b303e721e179207a14c67ec90b65f03527c0b50065213c281e540b79c9,1465341900,1551
