tran_id,trans_time,total_amount,target
e648cfbb6611e02f500678771cc761956a5a8dabeb24a98620ca438022006fe1,1485210697,225,0
7a34479341830ca2349eb1adf437ef73d9c2d20aa1c92bf5e2f8e163dd9358db,1485232098,437,0
87ea8dcb84da794e779924e6e2c534a45818e8d8bd00ecece2e2b2821249c0f9,1485524039,373,0
88ac1fe27ad4471d9fafecccf3e725239e4bc9ae33b329d44d3fbbb94cf0be51,1486417705,373,0
a389e40e5a12494892f28ac15ed7af7bdf2491a1cab4bebe68a03c37bdd14e56,1488303552,226,0
6bcb44f56085bfdc55093b96787eb0ce9155217d4c93c387a1ccc20d8f75d2ee,1488834225,226,0
443fcfc3259137e9030b32500a331a1314fe9e56cc2b119904f0905a03f7b48e,1460111878,519,0
0e348cd3dd8055b90a2ac5369be325e67ebc98e58f0c1cf2885e3ce1239bf655,1460111878,816,0
896ef275b0f362bd491b7138a5c46bf8f400a917e40d9d325fe7ed514412d0ea,1480672131,798,0
e9a0f4336a7c0ce9b4a6b5bbc35fc6749465aa517c513ad86621c36ac2f4246d,1481126230,814,0
56b46b35ab4bcd6f0b808f108a031d8eb18fc7eb1eb0774850761fc12d481495,1481185871,520,0
0549dd666fd5433226321c49e5357213db0d86458ccdaa4959986768f6ba00b1,1462013923,226,0
389ec397c15db5738a6a58b7239ec3b2db0bcf411208bc6dd914cffb013fed49,1467908869,701,0
62d003e337e4535fb9759fad6f8b705556b5f1c5e9492dccbe347c13e2a2cfac,1479243481,903,0
06a38bc38df0017ed2f32782031070ec855324cd4c0cd80edeaa1c86d2456274,1470626874,226,0
c1424a65740387f3d7148ae5eda524290c05cafc1ced2417300770e986a3edc2,1465702416,225,0
d66b7afa28a59b360254a64aa69a4025e786406f2395342ca0bfe5912a5530cb,1495625293,373,0
353b5165e5d91938af305fb6ac228f93aba0a6bd1dfbc5edc998b81ab4852add,1485116134,373,0
18d3682cdf24d1a5502b45699051b15042e151b15633e16d18f3d97205f185a5,1489491053,1579,0
4d92842362f034b1fce40c967a2296373f289cca37fda0e0f2122a81d02533c6,1489913127,226,0
9503e1f099027ca605120e6c5111934c47374a2cf17d85aceaf3cdccda0af700,1490281796,225,0
23b5a1e18b788cd0357ef48292ebc58e158d4207e6da149be4825d8c929ba2fa,1490950767,1775,0
1752f3fb85724eed205e2a4d708e73cfea86e3ba1f21ff817ed6a0f3ee86a693,1493107956,666,0
87318a10060eed06fef2987402de2c97e5808f7965318b332d810543d4d2e6ad,1494501027,226,0
b9a58a57481bd64ec39822f5c7c3848017c6d5a91f9223b3bb39e4e70fcdf4ad,1494555547,225,0
f0ca511b22135fa119500d8343f894881c3aeccc9ffe21049f127932e3c55bb5,1492599664,374,0
e0eea9e0418e06dec80eb37cce07c4172e227c13b754f6c3cc207869db2d7c62,1477991509,974,0
e6678e6cbebdb56cd32a2f2942cdf62595e699fbc5b571449e64b0b4ba5d248c,1478182079,259,0
c57196157859f590a627094e727324eca8948c677ae9e6250dc2948d997364b2,1478183525,225,0
c0efde776d55af47281b93a16a8db48866bfcf05313eeac9b243cda5baeb4a3f,1478561666,372,0
9e0cb9048bb4ead571c00ebe985a392c560ca772cfc328007b87913e8f6a2959,1478616342,226,0
8acc704b4a5604a308d941dd8b28c6f972b1d136545c59023a4b6c00da5ade9e,1478688847,226,0
0ea517cfd96b761b2a2b48e04226904d385886a5adec82bed0ce934cab32306b,1479208600,564,0
55e0b5f1470e4aa10ff3623ccbbee02e2ec780ac07c3e7ed5c779773e34b625b,1479804513,1109,0
1938e5182d3108799565d900f6517a986f8c84dd481911581c24d41deb25c0d4,1479843572,226,0
8853c6d1b749fdece03b448dc2b318e3a49d6ef8adda21dcf22570b4ba33a0d2,1480065859,326,0
91a538788d806a4bfa49ed07328d00839d52502b281b0a111692e7e3b841e30c,1480584117,1513,0
a705409b79a5d3c49d0971003fba043ac369189455bed1e20c3e577a8ef5c178,1480680398,1007,0
db8b4609b98bbbd6de6c5d023df92892ca6a21c357f9cab332256624c3a98944,1480995658,225,0
073fa65e19456424786f79789bf57623ff09f7747dcc9a4f75a275855351925a,1481128423,225,0
eb3b5b77d62c6e5f4897e494cdc9de0bd7937f6481bafc95ad76986f36ee4534,1481196609,259,0
cf2d3baa197d423857b49cb644fcf8a3ce6d697fefe9d70e90fb4ece5609cb51,1481606162,702,0
ef1bd91c8c27be13483a5666fb17001888260ae2f1222a2eee10952d273c0b16,1481702843,226,0
1ac269bc43cadb2a7fbaf6089c73324d096b6d8b914b59ae2165d0632b1614b8,1482329714,225,0
bedefd24ae2431fa3f08cd674c3db958001b21fa371c9ac9964fd9efe456ca6d,1482349174,192,0
e061d2c2844fb9d01927255746e0133664d7bfd73fe9978bdeb6b46cecb0899d,1482960727,667,0
2393634843740bb5f739b127145de4e6f722ecf17c8ef8eab22789cf68af19e5,1483713833,373,0
7ae59a613d411ed8c3aa53b1b752b00c4e4062b09d8dc1cf17171bfca1e7bd46,1483956288,226,0
edab4e75152e143e20fb9cac014c749dd37a5fcb4988b442608e549ff3e197ff,1484048374,225,0
658d9f96af31b1b936ece2e14856df4be7638f416222f46e5fa66907561aec61,1485436448,1106,0
62e657bf86e1754c072c7585ff95e22728c6c0239cb03cc38bcc700a7d94a5a2,1488947622,225,0
250f9e323852eda01701d78ab8bf69bc00445b958e59a6c58b49d2032c951c58,1489067623,225,0
