CryptoLocker – Addresses and number of ransoms paid
Malware address Ransoms Malware address Ransoms
1KP72fBmh3XBRfuJDMn53APaqM6iMRspCh 27 18iEz617DoDp8CNQUyyrjCcC7XCGDf5SVb 23
1DjurGF2kHEc5P665RbbJTc4n2qUBAgTs8 12 14qfTVJiSH9dmAnnyhUswZM1HhX9yĻgzJ 9
1CgznNN5f2HrRZQNv5cqFCKH9ZKrXQVh7Y 7 1PoYNEoFZsSG8gLKPWRFeobVwjm5Wdym4F 5
15aT4822ajycfyJsE7hkH85bDN7tQG4QKM 4 13RX1Z3V69xkfPKGsMTCncs8GFDSQSACHA 3
16jMEqCjJn91ckzbw7MpKmc2ivG5PguYTB 3 18n4QsBYvRDup4QykLL6vAgTKdxgGG1J4P 3
1FrSF471ryvBj9a83QhTuUs2jeBNBgin6r 3 1HFZF6PwHcuremLVrwAUznKRr1VpmTqBrz 3
1Hc1jdk4EDqScLi9bLoPF4jFDDdLELtKVa 3 1KVb9Zg9T3GRoJWoFJ18Toc5wXMctqaapz 3
1LMRafbNmzG9H5g3GaAWjhX7wSnCXGNHMs 3 1Lzp12h99tNsQyt1t7wm5ebnLUMucccriR 3
1NTYmdZr6K6qSbWHbF6GsmquRfkazire83 3 1PnP7Qy7EhJL4LmoSNW8wUFZanQdP2nuHW 3
12UCAGwdzwBYn7YzXjt8mgJQ1R7tebSt1W 2 12WYyJmHXwqbQ3snLo812pFce6Jec7GAk1 2
13hMeNŁJo44rKPeV3KSg2MUYJ86Dk5Pgd 2 13i2tPjvzLtaXAfWxSffaeZadNAWyzm4m6 2
13xxTRNsAutKoN5YpxDeTDsGSSjfRPxqZ1 2 14Tm8PNBbVBu5Ht9uADZ2wBqvgMreqh91z 2
15Bv2J5LrF38U5zPzJMVmF2ixLz72vUK6d 2 15pzogZza8p27e96XtWdq6Dd32qVdJ95eX 2
171Do2xxPPWHaEi2BhvL4qrpNkS71FgKgM 2 17NPq3s1Kr1KXhGvzDeStsxQMCaHi5MFSN 2
17XXdGae57XeNoDMnpDAgQfVj7KU1wJXkc 2 17f513ppQpUD8Z4k1737bSfRfJnsQt6rHA 2
17htXNMcWd4DgJeEwtkFWpSjU1Pogoc4ac 2 18Qe5NQXXzQWL2kSXGBMKaR9uspeLDmKmW 2
18uM8MYmAfFagMqPwzuub46v7apcoBywDZ 2 19BqF34ZYBG12or37b6eFwwwyPGgjQWaAL 2
19HvuQED8pLcQbk8buS6YwvAscTooFVfR1 2 19Mv9Kmuny6bAQ6dG9UhdF9THp6aeERW5j 2
1BMT3vM4ZVAE7xYonsKbzdcr6CpwvPNcBT 2 1DsxKTNpdQ5gjgzy8hq4BKhpk77Uk1CiV7 2
1Dv6gvXnMJu125L1V4tqiSbqZKVETppGnu 2 1ECe37xTBbyXxZ5DhxYbw85tJttQ7zy8pd 2
1EUJJqXkijGeAbjHQjpMX8qiEfCrrUb8hW 2 1F9LjiWDGGoMJsoEdCUVtqQQgvTWUvhc2N 2
1Gx9ab3fCwMsyKb9hzz1aj1r7dvWgQkLEy 2 1Hu1BLxyn4DZMCPzapXaD9VMvX13vjBV7h 2
1HzuvfZQ72wMd6STx5JX3ixXgPhwhUteDD 2 1JWB7vkGN7V6JoqU1JftUXJLvV6sK2YYu5 2
1Jdj41Ct1Q9PQjwz2MngePTHwETguEKTda 2 1KGtd3rQDd2uYCQGZJjmUk8SNFbE3ekqvf 2
1LHWvyNk3JaRmdUPnrNwzvEDV7osf71Rj5 2 1Li6WzsV2NQjsSeTMhn3VrH49wF9NGieQs 2
1MoWyT8Perux324bpWDhBdh1eTtvR8gw72 2 1N7bEyLTgaRYdytrqPzp9akCPvitDXxGpZ 2
1NwLRPEcz9QdnLFuCkqayzZgwURvS5AGN5 2 1Q62f7bkkd3FUg7RrrEPwPmEZZGQhspNGF 2
1Q7gTwEjrWhxujiEuKyrMUY1atfVx6Dgpo 2 1gtXGseLfmdEEPcUqGE9RikyP7U5WGG4t 2
